# x_m, y_m, w_tr_right_m, w_tr_left_m
4.440000, -8.600000, 1.554552, 1.554552
4.540000, -8.600000, 1.559864, 1.559864
4.640000, -8.600000, 1.557647, 1.557647
4.740000, -8.600000, 1.553529, 1.553529
4.840000, -8.600000, 1.550000, 1.550000
4.940000, -8.600000, 1.550000, 1.550000
5.040000, -8.600000, 1.550000, 1.550000
5.140000, -8.600000, 1.550000, 1.550000
5.240000, -8.600000, 1.550000, 1.550000
5.340000, -8.600000, 1.546471, 1.546471
5.440000, -8.600000, 1.549412, 1.549412
5.540000, -8.600000, 1.551900, 1.551900
5.640000, -8.600000, 1.553937, 1.553937
5.740000, -8.600000, 1.555520, 1.555520
5.840000, -8.600000, 1.556652, 1.556652
5.940000, -8.600000, 1.557330, 1.557330
6.040000, -8.600000, 1.557557, 1.557557
6.140000, -8.600000, 1.557330, 1.557330
6.240000, -8.600000, 1.556652, 1.556652
6.340000, -8.600000, 1.555520, 1.555520
6.440000, -8.600000, 1.553937, 1.553937
6.540000, -8.600000, 1.551900, 1.551900
6.640000, -8.600000, 1.549412, 1.549412
6.740000, -8.600000, 1.546471, 1.546471
6.840000, -8.600000, 1.550000, 1.550000
6.940000, -8.600000, 1.550000, 1.550000
7.040000, -8.600000, 1.546471, 1.546471
7.140000, -8.600000, 1.549412, 1.549412
7.240000, -8.600000, 1.551900, 1.551900
7.340000, -8.600000, 1.553937, 1.553937
7.440000, -8.600000, 1.555520, 1.555520
7.540000, -8.600000, 1.556652, 1.556652
7.640000, -8.600000, 1.557330, 1.557330
7.740000, -8.600000, 1.557557, 1.557557
7.840000, -8.600000, 1.557330, 1.557330
7.940000, -8.600000, 1.556652, 1.556652
8.040000, -8.600000, 1.555520, 1.555520
8.140000, -8.600000, 1.553937, 1.553937
8.240000, -8.600000, 1.551900, 1.551900
8.340000, -8.600000, 1.549412, 1.549412
8.440000, -8.600000, 1.546471, 1.546471
8.540000, -8.600000, 1.550000, 1.550000
8.640000, -8.600000, 1.550000, 1.550000
8.740000, -8.600000, 1.550000, 1.550000
8.840000, -8.600000, 1.550000, 1.550000
8.940000, -8.600000, 1.550000, 1.550000
9.040000, -8.600000, 1.550000, 1.550000
9.140000, -8.600000, 1.550000, 1.550000
9.240000, -8.600000, 1.550000, 1.550000
9.340000, -8.600000, 1.550000, 1.550000
9.440000, -8.600000, 1.550000, 1.550000
9.540000, -8.600000, 1.550000, 1.550000
9.640000, -8.600000, 1.550000, 1.550000
9.740000, -8.600000, 1.546471, 1.546471
9.840000, -8.600000, 1.549412, 1.549412
9.940000, -8.600000, 1.551900, 1.551900
10.040000, -8.600000, 1.553937, 1.553937
10.140000, -8.600000, 1.555520, 1.555520
10.240000, -8.600000, 1.556652, 1.556652
10.340000, -8.600000, 1.557330, 1.557330
10.440000, -8.600000, 1.557557, 1.557557
10.540000, -8.600000, 1.557330, 1.557330
10.640000, -8.600000, 1.556652, 1.556652
10.740000, -8.600000, 1.555520, 1.555520
10.840000, -8.600000, 1.553937, 1.553937
10.940000, -8.600000, 1.551900, 1.551900
11.040000, -8.600000, 1.545882, 1.545882
11.140000, -8.600000, 1.545882, 1.545882
11.240000, -8.600000, 1.551900, 1.551900
11.340000, -8.600000, 1.553937, 1.553937
11.440000, -8.600000, 1.555520, 1.555520
11.540000, -8.600000, 1.556652, 1.556652
11.640000, -8.600000, 1.557330, 1.557330
11.740000, -8.600000, 1.557557, 1.557557
11.840000, -8.600000, 1.557330, 1.557330
11.940000, -8.600000, 1.556652, 1.556652
12.040000, -8.600000, 1.555520, 1.555520
12.140000, -8.600000, 1.553937, 1.553937
12.240000, -8.600000, 1.551900, 1.551900
12.340000, -8.600000, 1.549412, 1.549412
12.440000, -8.600000, 1.546471, 1.546471
12.540000, -8.600000, 1.550000, 1.550000
12.640000, -8.600000, 1.550000, 1.550000
12.740000, -8.600000, 1.550000, 1.550000
12.840000, -8.600000, 1.550000, 1.550000
12.940000, -8.600000, 1.550000, 1.550000
13.040000, -8.600000, 1.550000, 1.550000
13.140000, -8.600000, 1.550000, 1.550000
13.240000, -8.600000, 1.550000, 1.550000
13.340000, -8.600000, 1.550000, 1.550000
13.440000, -8.600000, 1.550000, 1.550000
13.540000, -8.600000, 1.550000, 1.550000
13.640000, -8.600000, 1.550000, 1.550000
13.740000, -8.600000, 1.550000, 1.550000
13.840000, -8.600000, 1.550000, 1.550000
13.940000, -8.600000, 1.550000, 1.550000
14.040000, -8.600000, 1.550000, 1.550000
14.140000, -8.600000, 1.550000, 1.550000
14.240000, -8.600000, 1.550000, 1.550000
14.340000, -8.600000, 1.550000, 1.550000
14.440000, -8.600000, 1.550000, 1.550000
14.540000, -8.600000, 1.550000, 1.550000
14.640000, -8.600000, 1.550000, 1.550000
14.740000, -8.600000, 1.550000, 1.550000
14.840000, -8.600000, 1.550000, 1.550000
14.940000, -8.600000, 1.550000, 1.550000
15.040000, -8.600000, 1.550000, 1.550000
15.140000, -8.600000, 1.550000, 1.550000
15.240000, -8.600000, 1.550000, 1.550000
15.340000, -8.600000, 1.550000, 1.550000
15.440000, -8.600000, 1.550000, 1.550000
15.540000, -8.600000, 1.550000, 1.550000
15.640000, -8.600000, 1.550000, 1.550000
15.740000, -8.600000, 1.550000, 1.550000
15.840000, -8.600000, 1.550000, 1.550000
15.940000, -8.600000, 1.550000, 1.550000
16.040000, -8.600000, 1.550000, 1.550000
16.140000, -8.600000, 1.550000, 1.550000
16.240000, -8.600000, 1.550000, 1.550000
16.340000, -8.600000, 1.550000, 1.550000
16.440000, -8.600000, 1.550000, 1.550000
16.540000, -8.600000, 1.550000, 1.550000
16.640000, -8.600000, 1.550000, 1.550000
16.740000, -8.600000, 1.550000, 1.550000
16.840000, -8.600000, 1.550000, 1.550000
16.940000, -8.600000, 1.550000, 1.550000
17.040000, -8.600000, 1.550000, 1.550000
17.140000, -8.600000, 1.550000, 1.550000
17.240000, -8.600000, 1.550000, 1.550000
17.340000, -8.600000, 1.550000, 1.550000
17.440000, -8.600000, 1.550000, 1.550000
17.540000, -8.600000, 1.550000, 1.550000
17.640000, -8.600000, 1.550000, 1.550000
17.740000, -8.600000, 1.550000, 1.550000
17.840000, -8.600000, 1.550000, 1.550000
17.940000, -8.600000, 1.550000, 1.550000
18.040000, -8.600000, 1.550000, 1.550000
18.140000, -8.600000, 1.550000, 1.550000
18.240000, -8.600000, 1.550000, 1.550000
18.340000, -8.600000, 1.550000, 1.550000
18.440000, -8.600000, 1.550000, 1.550000
18.540000, -8.600000, 1.550000, 1.550000
18.640000, -8.600000, 1.550000, 1.550000
18.740000, -8.600000, 1.550000, 1.550000
18.840000, -8.600000, 1.550000, 1.550000
18.940000, -8.600000, 1.550000, 1.550000
19.040000, -8.600000, 1.550000, 1.550000
19.140000, -8.600000, 1.550000, 1.550000
19.240000, -8.600000, 1.550000, 1.550000
19.340000, -8.600000, 1.550000, 1.550000
19.440000, -8.600000, 1.550000, 1.550000
19.540000, -8.600000, 1.550000, 1.550000
19.640000, -8.600000, 1.550000, 1.550000
19.740000, -8.600000, 1.550000, 1.550000
19.840000, -8.600000, 1.550000, 1.550000
19.940000, -8.600000, 1.550000, 1.550000
20.040000, -8.600000, 1.550000, 1.550000
20.140000, -8.600000, 1.550000, 1.550000
20.240000, -8.600000, 1.550000, 1.550000
20.340000, -8.600000, 1.550000, 1.550000
20.440000, -8.600000, 1.550000, 1.550000
20.540000, -8.600000, 1.550000, 1.550000
20.640000, -8.600000, 1.550000, 1.550000
20.740000, -8.600000, 1.550000, 1.550000
20.840000, -8.600000, 1.553529, 1.553529
20.940000, -8.600000, 1.554118, 1.554118
21.040000, -8.600000, 1.555747, 1.555747
21.139942, -8.596586, 1.555928, 1.555928
21.239453, -8.586873, 1.549032, 1.549032
21.338139, -8.570903, 1.543046, 1.543046
21.435610, -8.548740, 1.530394, 1.530394
21.531480, -8.520473, 1.509776, 1.509776
21.625371, -8.486214, 1.482475, 1.482475
21.716910, -8.446101, 1.451028, 1.451028
