# x_m, y_m, w_tr_right_m, w_tr_left_m
0.887125, -3.365029, 0.867191, 0.824883
0.936269, -3.428154, 0.838228, 0.820338
0.984681, -3.491840, 0.813112, 0.811597
1.032500, -3.555976, 0.793881, 0.802564
1.080294, -3.620129, 0.775758, 0.790851
1.126353, -3.685535, 0.748077, 0.785082
1.170655, -3.752142, 0.732751, 0.776049
1.213155, -3.819915, 0.726457, 0.763462
1.252701, -3.889445, 0.715268, 0.748543
1.288930, -3.960755, 0.709324, 0.735723
1.321087, -4.033993, 0.709266, 0.724709
1.350042, -4.108558, 0.708916, 0.713695
1.374597, -4.184677, 0.707401, 0.702972
1.395748, -4.261822, 0.705944, 0.687529
1.413448, -4.339827, 0.691550, 0.668182
1.427671, -4.418545, 0.671270, 0.659382
1.438542, -4.497797, 0.658974, 0.643357
1.448099, -4.577224, 0.642191, 0.640210
1.457761, -4.656638, 0.627389, 0.638928
1.469606, -4.735746, 0.623660, 0.646434
1.484670, -4.814308, 0.625291, 0.661818
1.502388, -4.892312, 0.634324, 0.689703
1.522727, -4.969682, 0.651049, 0.722407
1.544670, -5.046611, 0.681410, 0.759185
1.568105, -5.123099, 0.712762, 0.795949
1.594399, -5.198644, 0.750816, 0.837930
1.624520, -5.272738, 0.792890, 0.872723
1.658329, -5.345236, 0.832517, 0.909534
1.695306, -5.416167, 0.867366, 0.939775
1.733240, -5.486602, 0.902448, 0.975318
1.771326, -5.556954, 0.934790, 1.007043
1.810286, -5.626825, 0.972960, 1.050681
1.850115, -5.696205, 1.022319, 1.094230
1.892861, -5.763813, 1.078788, 1.140855
1.939198, -5.828993, 1.134149, 1.181437
1.990011, -5.890735, 1.191259, 1.219514
2.046943, -5.946832, 1.226282, 1.236274
2.111153, -5.994370, 1.240385, 1.243357
2.181677, -6.031843, 1.239510, 1.248667
2.258104, -6.054796, 1.223951, 1.238915
2.337451, -6.063971, 1.194755, 1.214953
2.417400, -6.062359, 1.166259, 1.204021
2.497085, -6.055426, 1.148660, 1.200233
2.576596, -6.046610, 1.135315, 1.207051
2.656115, -6.037854, 1.135315, 1.210839
2.735500, -6.027974, 1.153963, 1.222203
2.814494, -6.015415, 1.170047, 1.225233
2.892622, -5.998300, 1.191725, 1.235082
2.967796, -5.971223, 1.221445, 1.250000
3.036416, -5.930616, 1.244289, 1.247080
3.092403, -5.874045, 1.242308, 1.245099
3.135152, -5.806521, 1.235082, 1.244796
3.170115, -5.734593, 1.212296, 1.233450
3.201485, -5.661004, 1.170688, 1.215369
3.232026, -5.587065, 1.116667, 1.186373
3.262355, -5.513038, 1.061014, 1.157109
3.290985, -5.438346, 1.005070, 1.123549
3.315023, -5.362070, 0.959674, 1.090360
3.334437, -5.284473, 0.923543, 1.069752
3.347235, -5.205515, 0.901107, 1.043546
3.356984, -5.126119, 0.873485, 1.013618
3.363430, -5.046387, 0.860781, 0.976689
3.367481, -4.966492, 0.846678, 0.932961
3.371756, -4.886606, 0.833625, 0.893495
3.376042, -4.806722, 0.820804, 0.860819
3.378592, -4.726767, 0.807925, 0.835762
3.377565, -4.646798, 0.797319, 0.822387
3.370955, -4.567097, 0.794930, 0.819695
3.360549, -4.487777, 0.792483, 0.829720
3.349617, -4.408528, 0.793823, 0.837179
3.338251, -4.329340, 0.787995, 0.836655
3.328175, -4.249981, 0.782401, 0.830828
3.319145, -4.170493, 0.785956, 0.825000
3.308933, -4.091148, 0.786538, 0.821270
3.299134, -4.011752, 0.787354, 0.810723
3.286650, -3.932746, 0.789918, 0.810781
3.271887, -3.854121, 0.793648, 0.814627
3.256579, -3.775599, 0.803263, 0.815443
3.240896, -3.697154, 0.806061, 0.822145
3.223232, -3.619132, 0.810373, 0.827331
3.204661, -3.541319, 0.808217, 0.830420
3.184380, -3.463937, 0.809033, 0.834441
3.162838, -3.386894, 0.817541, 0.836713
3.141317, -3.309845, 0.816317, 0.841958
3.117789, -3.233388, 0.810082, 0.837471
3.091952, -3.157681, 0.817774, 0.840093
3.063619, -3.082868, 0.815152, 0.840326
3.034010, -3.008550, 0.812821, 0.839685
3.002191, -2.935155, 0.808683, 0.844988
2.968737, -2.862487, 0.811655, 0.844114
2.933617, -2.790613, 0.811713, 0.844464
2.896242, -2.719897, 0.809441, 0.844522
2.856472, -2.650485, 0.810723, 0.837471
2.816639, -2.581107, 0.806119, 0.833333
2.777296, -2.511450, 0.794114, 0.833625
2.739222, -2.441097, 0.797436, 0.835140
2.703723, -2.369411, 0.791841, 0.834266
2.670034, -2.296852, 0.786247, 0.834207
2.635950, -2.224478, 0.788578, 0.843881
2.600427, -2.152800, 0.792541, 0.845862
2.563009, -2.082107, 0.804371, 0.844872
2.521623, -2.013669, 0.812296, 0.845047
2.478115, -1.946536, 0.826690, 0.845221
2.434254, -1.879632, 0.840501, 0.847436
2.390697, -1.812531, 0.844580, 0.859033
2.348564, -1.744530, 0.857226, 0.864627
2.308502, -1.675290, 0.867191, 0.873485
2.269833, -1.605258, 0.872145, 0.881760
2.230599, -1.535539, 0.877681, 0.892016
2.190948, -1.466057, 0.884091, 0.899825
2.150801, -1.396864, 0.901166, 0.906993
2.107985, -1.329286, 0.910839, 0.923252
2.064085, -1.262413, 0.919289, 0.943007
2.018286, -1.196824, 0.934207, 0.958566
1.970618, -1.132591, 0.938462, 0.979079
1.920300, -1.070406, 0.949184, 1.003089
1.868057, -1.009828, 0.963986, 1.024942
1.813391, -0.951434, 0.975175, 1.043124
1.755986, -0.895734, 0.989802, 1.065967
1.696819, -0.841893, 1.014336, 1.099709
1.636678, -0.789140, 1.040443, 1.133741
1.575857, -0.737173, 1.071737, 1.174359
1.515191, -0.685023, 1.108042, 1.211597
1.454089, -0.633386, 1.157168, 1.229254
1.391513, -0.583558, 1.189627, 1.239161
