# x_m,y_m,w_tr_right_m,w_tr_left_m
2.3400,17.5500,0.7500,0.7500
2.3400,17.6000,0.7500,0.7500
2.3400,17.6500,0.7500,0.7500
2.3400,17.7000,0.7500,0.7500
2.3400,17.7500,0.7500,0.7500
2.3400,17.8000,0.7500,0.7500
2.3400,17.8500,0.7500,0.7500
2.3400,17.9000,0.7500,0.7500
2.3400,17.9500,0.7500,0.7500
2.3400,18.0000,0.7500,0.7500
2.3400,18.0500,0.7500,0.7500
2.3400,18.1000,0.7500,0.7500
2.3400,18.1500,0.7500,0.7500
2.3400,18.2000,0.7500,0.7500
2.3400,18.2500,0.7500,0.7500
2.3400,18.3000,0.7500,0.7500
2.3400,18.3500,0.7500,0.7500
2.3400,18.4000,0.7500,0.7500
2.3400,18.4500,0.7500,0.7500
2.3400,18.5000,0.7500,0.7500
2.3400,18.5500,0.7500,0.7500
2.3400,18.6000,0.7500,0.7500
2.3400,18.6500,0.7500,0.7500
2.3400,18.7000,0.7500,0.7500
2.3400,18.7500,0.7500,0.7500
2.3400,18.8000,0.7500,0.7500
2.3400,18.8500,0.7500,0.7500
2.3400,18.9000,0.7500,0.7500
2.3400,18.9500,0.7500,0.7500
2.3400,19.0000,0.7500,0.7500
2.3400,19.0500,0.7500,0.7500
2.3400,19.1000,0.7500,0.7500
2.3400,19.1500,0.7500,0.7500
2.3400,19.2000,0.7500,0.7500
2.3400,19.2500,0.7500,0.7500
2.3400,19.3000,0.7500,0.7500
2.3400,19.3500,0.7500,0.7500
2.3400,19.4000,0.7500,0.7500
2.3400,19.4500,0.7500,0.7500
2.3400,19.5000,0.7500,0.7500
2.3400,19.5500,0.7500,0.7500
2.3400,19.6000,0.7500,0.7500
2.3400,19.6500,0.7500,0.7500
2.3400,19.7000,0.7500,0.7500
2.3400,19.7500,0.7500,0.7500
2.3400,19.8000,0.7500,0.7500
2.3400,19.8500,0.7500,0.7500
2.3400,19.9000,0.7500,0.7500
2.3400,19.9500,0.7500,0.7500
2.3400,20.0000,0.7500,0.7500
2.3400,20.0500,0.7500,0.7500
2.3400,20.1000,0.7500,0.7500
2.3400,20.1500,0.7500,0.7500
2.3400,20.2000,0.7500,0.7500
2.3400,20.2500,0.7500,0.7500
2.3400,20.3000,0.7500,0.7500
2.3400,20.3500,0.7500,0.7500
2.3400,20.4000,0.7487,0.7487
2.3400,20.4500,0.7341,0.7341
2.3400,20.5000,0.7220,0.7220
2.3400,20.5500,0.7124,0.7124
2.3400,20.6000,0.7055,0.7055
2.3400,20.6500,0.7014,0.7014
2.3400,20.7000,0.7000,0.7000
2.3400,20.7500,0.7000,0.7000
2.3400,20.8000,0.7000,0.7000
2.3400,20.8500,0.7000,0.7000
2.3400,20.9000,0.7000,0.7000
2.3400,20.9500,0.7000,0.7000
2.3400,21.0000,0.7000,0.7000
2.3400,21.0500,0.7000,0.7000
2.3400,21.1000,0.7000,0.7000
2.3400,21.1500,0.7000,0.7000
2.3400,21.2000,0.7000,0.7000
2.3400,21.2500,0.7000,0.7000
2.3400,21.3000,0.7000,0.7000
2.3400,21.3500,0.7000,0.7000
2.3400,21.4000,0.7000,0.7000
2.3400,21.4500,0.7000,0.7000
2.3400,21.5000,0.7000,0.7000
2.3400,21.5500,0.7000,0.7000
2.3400,21.6000,0.7000,0.7000
2.3400,21.6500,0.7000,0.7000
2.3400,21.7000,0.7000,0.7000
2.3400,21.7500,0.7000,0.7000
2.3400,21.8000,0.7000,0.7000
2.3400,21.8500,0.7000,0.7000
2.3400,21.9000,0.7014,0.7014
